Buildup file,datastore_12_2020/out3.csv
Name,capacitance/pF,u/pF,conductance/nS,u/nS
AH11A1,9.999951263566864,5.537102190887343e-07,0.00029002474385898916,3.119236649272199e-05
AH11B1,9.999953897710439,5.536441839894023e-07,0.0003601852132096389,3.1187130153043424e-05
AH11C1,99.999581,5.499976955e-06,0.0018999920389999997,0.000299998743
AH11D2,99.99957174339184,5.535718002977262e-06,0.0029867618228921105,0.00031015057251417656
AH11A2,9.999950796703821,5.53675500395929e-07,0.00015263592908007124,3.119010783828045e-05
AH11B2,9.99994834401894,5.535509778493006e-07,0.0001417547791283639,3.1172744524700605e-05
AH11C2,99.99953645703252,5.5361169442816044e-06,0.0017052338683189166,0.0003101878073003903
AH11D2,99.99960638231575,5.5357199583926955e-06,0.0017282596633952645,0.00031015067630180647
ES14,0.5000478841695981,2.7726359359502083e-08,1.9946431964220614e-05,1.5938606820992667e-06
ES13,4.999935830243993,2.7619038939465787e-07,0.00013541638980206199,1.5424628047057543e-05
ES16,5.0000797112784925,2.761983977535893e-07,0.00012866509487025125,1.5425072020221654e-05
GR10,10.000170432667666,5.523973849920114e-07,0.0004777601573649602,3.085017810257884e-05
GR100,100.00381603374751,5.517135566676293e-06,0.003660435930793555,0.00030501669849955363
GR1000A,1000.0290657030532,5.5321320293606675e-05,0.07877036116693605,0.003093663377673691
GR1000B,1000.0137971623124,5.532045148734743e-05,0.08424655574376458,0.0030936162721629922
ES13ES16,10.000015541522487,5.523887120582671e-07,0.00026408148467231324,3.0849699931912e-05

Transformer ratio file,datastore_12_2020/out_perm2.csv
Date,07-Dec-20
Reference, Training run
ratio.real,u,ratio.imag,u
10.00001763921027,2.77190803035014e-08,-0.0001684930432066416,4.628211816285157e-07
